character,user,makise
Rintaro,Ah...,Could you come with me for a moment?
Rintaro,Y-you’re with the Organization!?,Huh?
Rintaro,"If their tendrils have gotten this far, then I’ve made a grave mistake.",Stop fooling around and come with me.
Rintaro,... Try anything and people are sure to notice. What will your superiors say then?,What are you talking about? I just need to ask you something.
Rintaro,What makes you think I’ll answer? I know how the Organization operates.,What’s with this ’Organization’ stuff?
Rintaro,What are you doing!?,Huh? Your phone’s off.
Rintaro,"Y-your techniques don’t work on me, but I’ll tell you anyway. That’s no ordinary phone. It’s designed to deactivate the moment it leaves my hand. Muhahaha!",...So you talk to yourself.
Rintaro,Guh!,What were you trying to tell me earlier?
Rintaro,What are you talking about?,"About fifteen minutes ago. Before the conference started. You were trying to tell me something, right? You looked really upset. You looked like you were going to start crying any second. Why? Have we met before? And how do you know my name?"
Rintaro,"My knowledge has no limits. Genius girl, our next meeting shall be as enemies!",Huh?
Rintaro,Wha...!? You... you...!,Is there something wrong? O-ow!
Rintaro,Y-you... You should be dead! Why are you here!? And you’re even... Not a scratch...,"Hey, that hurts! Let me go! What’s wrong with you?"
Rintaro,I sent you an email? Don’t be ridiculous! I saw her dead just three hours ago!,Hey! Could you not talk about me like that? I’m perfectly fine.
Itaru,"You know, that message was kinda weird. It was dated a week after I got it, which means it came from the future.",It came from the future?
Rintaro,This is the email I sent you three hours ago.,Interesting...
Itaru,"O-Okarin, I don’t think that’s a good idea...",...Hey. Are you trying to get yourself arrested?
Rintaro,I just want to know the truth.,"What truth, you perv!? You stupid!? Wanna die!?"
Rintaro,I know what I saw!,No way! Did you just see my underw...!?
Rintaro,"No, you fool! Not that!",... Wait. Doctor Nakabachi?
Itaru,Yeah. Because of the satellite crash.,"Excuse me, um..."
Itaru,"Really, man? You’re hopeless...","Okay, Hououin-san. I’d like to hear your story in more detail."
Professor,Makise-san? It’s almost time.,"Huh? Oh, right. Thank you."
Itaru,"To hear the lecture, duh?","Um, I’d like to thank everyone for coming to hear me speak today."
Rintaro,She’s the one giving the lecture...,"It’s my first time giving a lecture like this, so please forgive me if I’m a little nervous. For today’s lecture, I’ve been asked to speak on the subject of time travel. It’s not really my area of expertise, but I’ll try my best."
Rintaro,Time travel? Oh-ho...,Let me start by saying that time travel is an absurd concept.
Rintaro,OBJECTION!,Hwa...!?
Itaru,"Okarin, you magnificent fool!","Um... okay. It’s fine, I guess. It’ll be easier to talk in a discussion format. But before that, please listen to my thoughts on the subject. Scientists have proposed many theoretical models of time travel, but there are eleven in particular that bear mentioning. Neutron Star Theory. Black Hole Theory. Lightspeed Theory. Tachyon Theory. Wormhole Theory. Exotic Matter Theory. Cosmic String Theory. Quantum Gravity Theory. Cesium Laser Theory. Elementary Particle Ring & Laser Theory. Dirac Antiparticle Theory."
Rintaro,"Well, what if someone comes up with a 12th model?","Hm? Ahh, uhh, right, well... It could be contradicted by the 13th model, now couldn’t it? By the way, time travel to the future is available to us right now, according to Einstein’s special theory of relativity. For example, let’s say someone were to go to Haneda Airport and board a plane headed to Okinawa. Upon arrival, that person would be about one hundred millionth of a second farther into the future than I am. According to the special theory of relativity, time moves slower for objects as they approach the speed of light. For example, if you could run at near the speed of light, you could reach a point where time only moves half as fast for you. If you were to keep running at that speed for 24 hours, 48 hours would elapse in the rest of the world, meaning you would ’jump’ one day into the future. Understand, Hououin Kyouma?"
Professor,"But that’s not really time travel, is it?","Yes, you’re right."
Professor,Then what about going to the past?,"Going to the past is possible right now. Take a look at the sky at night. You can see light from tens of thousands of years ago, can’t you?"
